,brain,batch,condition,Olfactory areas (T),Isocortex (T),Cortical subplate (T),Hippocampal formation (T),Cerebral nuclei (T),Thalamus (D),Hypothalamus (D),"Midbrain, motor related (Mes)","Midbrain, sensory related (Mes)","Midbrain, behavioral state related (Mes)",Medulla (Met),Pons (Met)
1,an11,201904_ymaze_cfos,CNO_control_reversal,0.07883302563221846,0.3426946030655618,0.017092439139581812,0.17104890300974626,0.05258683611695505,0.04624962431840625,0.05271564123481173,0.07626551028294191,0.05759306169765145,0.005907861405693186,0.04007985917307114,0.058932634923360955
2,an12,201904_ymaze_cfos,CNO_control_reversal,0.10035133214879165,0.37877083263761663,0.025551324318379934,0.15774364383602657,0.10265324288440124,0.04196870368685723,0.045967971313056404,0.04916116714589554,0.036830571769753656,0.0043861820870119955,0.025463807952243702,0.031151220219965477
3,an13,201904_ymaze_cfos,CNO_control_reversal,0.06881361375459721,0.32375229498016017,0.02550837800765735,0.1302271861076556,0.13186196649570797,0.07584800605158941,0.04961413378887924,0.06935725078305013,0.034585762126878306,0.00674999854901149,0.03816680176981905,0.04551460758499407
4,an14,201904_ymaze_cfos,CNO_control_reversal,0.06389097094095941,0.3415644459178967,0.029718490544280444,0.14746814460332103,0.16126434213560886,0.0752259426891144,0.04183363122693727,0.06661165244464945,0.025738367735239853,0.004927856895756457,0.01327908786900369,0.028477066997232472
5,an15,201904_ymaze_cfos,CNO_control_reversal,0.036258178662037656,0.23595773801575645,0.025751101615703032,0.11472326078248098,0.218475430631593,0.08620643610628922,0.05956569635465349,0.11031012151155027,0.027949325677660567,0.012363132594471892,0.02264154092669248,0.049798037121110965
6,an16,201904_ymaze_cfos,CNO_control_reversal,0.036133084156816916,0.17456233862491155,0.02691031699061481,0.15314647583877708,0.19093181686646218,0.10167073974433892,0.04820856149102647,0.12355147480261598,0.029540859285590266,0.012041872109717324,0.03824274547216274,0.06505971461696579
7,an17,201904_ymaze_cfos,CNO_control_reversal,0.039994269788763574,0.2671311610623464,0.02710303093445854,0.1472985526875559,0.1705406367480183,0.1000208371317688,0.05222827077852733,0.09370371335052396,0.02783406697401436,0.007416282482049679,0.02684690785646689,0.039882270205506214
8,an18,201904_ymaze_cfos,CNO_control_reversal,0.030850885510353677,0.2709669187642133,0.02156046963696452,0.11657739428039618,0.19201777275194953,0.11745927703126993,0.05837813631280444,0.10163667431382016,0.019154993707985478,0.010278624913375348,0.017209848065987347,0.04390900471088006
9,an9,201904_ymaze_cfos,CNO_control_reversal,0.09184847124238081,0.30368488710381775,0.03568638787573117,0.15063690545752015,0.08730925127473352,0.0401764022068728,0.04918103368740889,0.06233124004354699,0.055749986160914734,0.006396732745736024,0.041369638892135095,0.07562906330920206
0,an29,201904_ymaze_cfos,homecage_control,0.052695294103440364,0.3799932979918127,0.029641291615848137,0.13208692081969786,0.14244182536136504,0.06378681576119115,0.032536438395865286,0.060722609315187595,0.038260315658547775,0.0052514158747026364,0.024453273115890403,0.03813050198645108
1,an30,201904_ymaze_cfos,homecage_control,0.056268105232042565,0.3990422701744014,0.024141294708838308,0.11842595329589121,0.15048329884717707,0.05400532072125332,0.04156961276973101,0.053582618977239135,0.03349985220218741,0.004723618090452261,0.02635234998522022,0.037905704995566065
2,an31,201904_ymaze_cfos,homecage_control,0.0777524281161387,0.36764232828833016,0.031183688033367844,0.1371030743072469,0.15183396091766976,0.05856943209249142,0.04109348348502583,0.05186964266888686,0.03037409072355563,0.0034451812065297606,0.020852199158235052,0.02828049100252205
3,an32,201904_ymaze_cfos,homecage_control,0.028324874074216758,0.3684949581531527,0.0276564802419316,0.14886305631266192,0.15069873159268427,0.0738546291569955,0.033620017143242385,0.07284529668403464,0.039377449894540166,0.005287438240987759,0.02068361086765995,0.030293457637892346
4,an33,201904_ymaze_cfos,homecage_control,0.056831119903468987,0.4172034754190134,0.02265566192963676,0.12532577325046998,0.14943393942603386,0.05385424271194647,0.02424812101175999,0.05564717764051277,0.03474662500803795,0.0037220421301882582,0.0208986613509046,0.03543316021802694
