control,treatment,region,Estimate,Std. Error,z value,Pr(>|z|),fdr_adj_pval,status
control,demonstrator,"Posterior auditory area, layer 4",-0.07235417152522833,0.11540051894233641,-0.6269830689529431,0.5306703335308878,0.9979519911483261,success
control,demonstrator,"Posterior auditory area, layer 5",-0.002497618232164566,0.1273340472360746,-0.019614692899331432,0.9843507428497307,0.9979519911483261,success
control,demonstrator,"Posterior auditory area, layer 6a",0.0676037011869906,0.09724221622341088,0.6952093834602995,0.4869240926623367,0.9979519911483261,success
control,demonstrator,"Posterior auditory area, layer 6b",0.06532710986351642,0.16026257003469344,0.4076254976403691,0.6835486419121639,0.9979519911483261,success
control,demonstrator,Posterior complex of the thalamus,-0.5634423563400925,0.2626568263800746,-2.145165477347121,0.03193961876220166,0.46803825955380124,success
control,demonstrator,Posterior hypothalamic nucleus,-0.3609748248966109,0.33973697871029096,-1.0625126127480824,0.2880030352114916,0.94188117094917,success
control,demonstrator,Posterior limiting nucleus of the thalamus,-0.022873604834682443,0.2661699996343401,-0.08593607418606837,0.9315172345171765,0.9979519911483261,success
control,demonstrator,Posterior parietal association areas,0.11746477289419652,0.11590765876439375,1.0134340918141391,0.31085286231752196,0.9677179991997528,success
control,demonstrator,Posterior pretectal nucleus,0.2167077930859991,0.33691810079655266,0.643206145866463,0.5200903459395048,0.9979519911483261,success
control,demonstrator,Posterodorsal preoptic nucleus,0.35667895819490225,0.334497757190952,1.0663119573363473,0.28628264600831754,0.9402904149066291,success
control,demonstrator,Posterolateral visual area,-0.02092734886481918,0.35860250519199177,-0.058358066555098134,0.9534634158563913,0.9979519911483261,success
control,demonstrator,"Posterolateral visual area, layer 1",-0.2829568444972396,0.3858205295038859,-0.7333898091454196,0.46332071296093724,0.9979519911483261,success
control,demonstrator,"Posterolateral visual area, layer 2/3",-0.08672591352562364,0.3540644536975354,-0.24494385872384264,0.8064999015015988,0.9979519911483261,success
control,demonstrator,"Posterolateral visual area, layer 4",0.008598355302850118,0.3322560007424722,0.02587870582814426,0.9793540846456501,0.9979519911483261,success
control,demonstrator,"Posterolateral visual area, layer 5",0.043450408098147125,0.32485928447777085,0.13375147386658826,0.8935991005441498,0.9979519911483261,success
control,demonstrator,"Posterolateral visual area, layer 6a",0.08138984245825431,0.3394911724982088,0.23974067384236253,0.8105313011132956,0.9979519911483261,success
control,demonstrator,"Posterolateral visual area, layer 6b",0.10743012393465458,0.32921379280422686,0.3263232777082943,0.7441797782559276,0.9979519911483261,success
control,demonstrator,Postpiriform transition area,-0.03810546861522962,0.4755378019088866,-0.08013131335146866,0.9361328183625253,0.9979519911483261,success
control,demonstrator,Postsubiculum,-0.052632619652187754,0.3232181846192455,-0.1628392898567559,0.8706449722878715,0.9979519911483261,success
control,demonstrator,Precommissural nucleus,-1.7834044544253715,0.47532728181987405,-3.7519505457319724,0.00017546408162783582,0.0445678767334703,success
control,demonstrator,Prelimbic area,0.2493430675387971,0.2988887631456898,0.8342336624319924,0.404149325448539,0.9979519911483261,success
control,demonstrator,"Prelimbic area, layer 1",-0.15997025605160023,0.3489924093712666,-0.45837746540045804,0.6466812785446046,0.9979519911483261,success
control,demonstrator,"Prelimbic area, layer 2/3",0.14346352498554357,0.2984836047832221,0.4806412234592783,0.6307715116289021,0.9979519911483261,success
control,demonstrator,"Prelimbic area, layer 5",0.3623371929992506,0.3261002391915701,1.1111221319478788,0.2665157826320793,0.9144363978122801,success
control,demonstrator,"Prelimbic area, layer 6a",0.29495063664635734,0.3080392981667848,0.9575097671033495,0.33831001895490587,0.980477439590561,success
